,True,CGI,DHS,WPS,OCC,MESA
Control_1,0.0,0.27,0.15187035501003265,0.21,0.21339111416220322,0.029075655380701292
Control_2,0.0,0.35,0.2530216574668884,0.02,0.023014830631606233,0.01928672810387029
Control_3,0.0,0.32,0.18361824750900269,0.05,0.265317640427239,0.0339535288244286
Control_4,0.0,0.17,0.10573738068342209,0.03,0.031119435323762136,0.00592498363036496
Control_5,0.0,0.34,0.2190515697002411,0.4,0.14028336115767215,0.07344332093030881
Control_6,0.0,0.52,0.3160848617553711,0.0,0.17777021498063525,0.06936265748801314
Control_7,0.0,0.31,0.7594032883644104,0.5,0.36391946404311754,0.6092112187501214
Control_8,0.0,0.59,0.3046876788139343,0.57,0.5464851940932681,0.7310039872650366
Control_9,0.0,0.33,0.18592281639575958,0.05,0.08511559529833934,0.02211961766089959
Control_10,0.0,0.21,0.12905606627464294,0.03,0.07305027739250469,0.00864705281292278
Control_11,0.0,0.42,0.07301464676856995,0.88,0.7334532306162506,0.7549578778300936
Control_12,0.0,0.29,0.09441538900136948,0.31,0.295481036142344,0.04515347851881688
Control_13,0.0,0.23,0.1409778892993927,0.16,0.03989432116639424,0.012216370092232682
Control_14,0.0,0.5,0.08756896108388901,0.11,0.08096109730810508,0.04036364491463036
Control_15,0.0,0.56,0.7186198830604553,0.62,0.33356985955614665,0.8478765613740014
Control_16,0.0,0.42,0.46703624725341797,0.22,0.18011458920505058,0.14336407897235298
Control_17,0.0,0.56,0.09449746459722519,0.59,0.7337985159638417,0.6758840571240281
Control_18,0.0,0.5,0.22563102841377258,0.2,0.1697641361382178,0.12337512614352375
Control_19,0.0,0.42,0.5055074691772461,0.01,0.028863689016206347,0.07285916144261123
Control_20,0.0,0.31,0.41144320368766785,0.4,0.12687695968600904,0.13307762343083437
Control_51,0.0,0.4,0.16602981090545654,0.08,0.10547381267073123,0.026283993758411152
sALS_21,1.0,0.55,0.27740317583084106,1.0,0.9920145148804229,0.9657993803402384
sALS_22,1.0,0.71,0.9495524168014526,0.92,0.9849483610694916,0.9977199911244101
sALS_23,1.0,0.53,0.7872447967529297,0.81,0.8596734678491664,0.9802080179553785
sALS_24,1.0,0.8,0.8705172538757324,0.98,0.9861944446462633,0.9981459497764394
sALS_25,1.0,0.39,0.4920206665992737,0.69,0.7927874933825806,0.8444112214076372
sALS_26,1.0,0.43,0.8919956684112549,0.98,0.991222522490945,0.9912473401286195
sALS_27,1.0,0.92,0.8966672420501709,1.0,0.9929301831897248,0.9992809810054245
sALS_28,1.0,0.32,0.32123470306396484,0.93,0.9862693362921129,0.8900386829049985
sALS_29,1.0,0.5,0.6103512644767761,0.33,0.18242181768847077,0.4103710350574625
sALS_30,1.0,0.37,0.5834539532661438,0.03,0.03759558976080785,0.02938131685191806
sALS_31,1.0,0.61,0.9552696943283081,1.0,0.9865534363042361,0.997573152416377
sALS_33,1.0,0.56,0.11062338948249817,1.0,0.9780271669675875,0.9403649247432133
sALS_34,1.0,0.82,0.9058117270469666,1.0,0.9917948974412163,0.99892031937477
sALS_35,1.0,0.6,0.5140908360481262,0.41,0.34281700898515627,0.6603781703897136
sALS_36,1.0,0.48,0.6038637161254883,0.08,0.12782139207581472,0.16179512358917167
sALS_37,1.0,0.55,0.48417797684669495,0.3,0.27518821578729824,0.46142391629540097
sALS_38,1.0,0.65,0.7688785791397095,0.98,0.9853121339625502,0.994225213904512
sALS_39,1.0,0.75,0.8375645279884338,1.0,0.9885288912495442,0.9975923372654911
sALS_40,1.0,0.85,0.5725863575935364,0.79,0.9204962095767301,0.9947369790092662
