chr	start	stop	mean difference	#CpGs	mean g1	mean g2	annot.symbol	annot.type	p(MWU)_new	-log10(q)	hue
chr1	149936419	149937002	-0.071176	16	0.57071	0.64188	MTMR11	hg38_genes_promoters	1.829615142216975e-06	5.096902066013171	-1
chr1	150149436	150149601	0.011469	12	0.014969	0.0035	PLEKHO1	hg38_genes_promoters	4.1325342676624254e-09	7.518280606226743	1
chr1	150234746	150234868	-0.012055	14	0.0030169	0.015071	ANP32E	hg38_genes_promoters	0.0019874743621198	2.3980267399427646	0
chr1	150283432	150283548	-0.0165	10	0.854	0.8705	CIART	hg38_genes_promoters	0.103092395621562	0.9184106994461325	0
chr1	150549696	150549879	-0.014373	10	0.37868	0.39306	ADAMTSL4	hg38_genes_promoters	0.6746732810480893	0.1689827501001146	0
chr1	149886380	149886562	0.022727	17	0.058609	0.035882	H2AC20	hg38_genes_promoters	3.6028117749149195e-08	6.653672353155625	1
chr1	149886300	149886363	0.010466	10	0.073526	0.063061	H2AC20	hg38_genes_promoters	0.1366301626680279	0.8112153463430861	0
chr1	147773013	147773660	0.016376	10	0.28789	0.27151	GJA5	hg38_genes_promoters	0.4166051730694422	0.3712088867157627	0
chr1	148014379	148014463	0.0121	10	0.0257	0.0136	LINC02804	hg38_genes_promoters	0.0002856198322406	3.1315085374358524	0
chr1	149636440	149636523	-0.010361	10	0.0066429	0.017004	LOC644634	hg38_genes_promoters	0.0121113208888391	1.7207114867352185	0
chr1	149636440	149636523	-0.010361	10	0.0066429	0.017004	LINC00869	hg38_genes_promoters	0.0121113208888391	1.7207114867352185	0
chr1	149812024	149812164	0.077989	17	0.31793	0.23994	H2BC18	hg38_genes_promoters	2.2122628566483363e-06	5.02177962286177	1
chr1	150720807	150720872	0.016053	10	0.88405	0.868	HORMAD1	hg38_genes_promoters	0.0037506671955859	2.159139147195534	0
chr1	151369742	151369900	-0.029508	10	0.82668	0.85619	SELENBP1	hg38_genes_promoters	0.0043521806659117	2.1031182852545713	0
chr1	151369918	151370423	0.027228	12	0.59789	0.57067	SELENBP1	hg38_genes_promoters	0.2799502926052046	0.5317900338708479	0
chr1	151372241	151372772	-0.032846	10	0.79825	0.8311	SELENBP1	hg38_genes_promoters	0.0037135586406924	2.1625489111736553	0
chr1	151423987	151424476	0.020552	10	0.89045	0.8699	POGZ	hg38_genes_promoters	0.0288781244106678	1.3950262836106953	0
chr1	151287764	151288135	0.022961	15	0.87056	0.8476	ZNF687	hg38_genes_promoters	0.0005257573843737	2.8991372739954606	0
chr1	151519113	151519262	0.022705	10	0.85011	0.8274	CGN	hg38_genes_promoters	0.0117633649792568	1.7320371865537811	0
chr1	151613047	151613296	0.022524	10	0.06931	0.046785	SNX27	hg38_genes_promoters	0.0061822812805321	1.9697458972197182	0
chr1	151710353	151710676	0.03376	10	0.64606	0.6123	RIIAD1	hg38_genes_promoters	0.0742817560806383	1.0415965056666514	0
chr1	151710353	151710676	0.03376	10	0.64606	0.6123	CELF3	hg38_genes_promoters	0.0742817560806383	1.0415965056666514	0
chr1	151711278	151711624	0.031465	10	0.82551	0.79404	CELF3	hg38_genes_promoters	0.0067053546359694	1.9397054328300662	0
chr1	151265854	151266358	-0.012408	12	0.84601	0.85842	PSMD4	hg38_genes_promoters	0.1053078432429456	0.9107412638255182	0
chr1	150720890	150720988	0.036821	10	0.84542	0.8086	HORMAD1	hg38_genes_promoters	4.056972303869951e-07	5.690859374452691	1
