chr	start	stop	mean difference	#CpGs	mean g1	mean g2	annot.symbol	annot.type	p(MWU)_new	-log10(q)	hue
chr1	923590	923667	-0.0154	10	0.0062	0.0216	SAMD11	hg38_genes_promoters	1.7608181077275814e-08	6.815331349958899	-1
chr1	153943888	153944335	-0.03564	12	0.67536	0.711	DENND4B	hg38_genes_promoters	0.074739195440526	0.9959464884828577	0
chr1	154330012	154330600	-0.042327	10	0.70617	0.7485	ATP8B2	hg38_genes_promoters	0.0278367974686421	1.3497226008244212	0
chr1	154404555	154404927	-0.013647	10	0.065353	0.079	IL6R	hg38_genes_promoters	4.759699645715971e-05	3.727645940865482	0
chr1	154502624	154502678	-0.035005	10	0.0065947	0.0416	SHE	hg38_genes_promoters	1.4049661466623578e-11	9.677317160215203	-1
chr1	154502624	154502678	-0.035005	10	0.0065947	0.0416	TDRD10	hg38_genes_promoters	1.4049661466623578e-11	9.677317160215203	-1
chr1	154551739	154552290	-0.034029	10	0.82097	0.855	UBE2Q1	hg38_genes_promoters	0.0045239365730549	2.0092001496887275	0
chr1	154609181	154609729	-0.077305	10	0.31309	0.3904	ADAR	hg38_genes_promoters	0.0110431570406215	1.684699295660034	0
chr1	154971174	154971903	0.044842	10	0.47554	0.4307	SHC1	hg38_genes_promoters	0.3027765469591212	0.48162170222017003	0
chr1	154975667	154975772	0.0116	10	0.0151	0.0035	MIR4258	hg38_genes_promoters	1.4407927930238447e-05	4.185723132328288	0
chr1	155057310	155058091	-0.022542	24	0.82967	0.85221	ADAM15	hg38_genes_promoters	0.0001452141917225	3.3079542451943533	0
chr1	155059775	155060306	-0.019158	10	0.81164	0.8308	ADAM15	hg38_genes_promoters	0.3237640372810519	0.45591981892055183	0
chr1	155062802	155062912	-0.026161	12	0.016839	0.043	EFNA4	hg38_genes_promoters	3.8637939094205965e-10	8.346575499288098	-1
chr1	155062802	155062912	-0.026161	12	0.016839	0.043	EFNA3	hg38_genes_promoters	3.8637939094205965e-10	8.346575499288098	-1
chr1	155129947	155130314	-0.01175	12	0.16058	0.17233	EFNA1	hg38_genes_promoters	0.2114192630469613	0.6167337578806611	0
chr1	155130745	155131574	0.0475	12	0.76808	0.72058	EFNA1	hg38_genes_promoters	0.0009101487739064	2.6108549845999423	0
