0,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Control_7,Control_8,Control_9,Control_10,Control_11,Control_12,Control_13,Control_14,Control_15,Control_16,Control_17,Control_18,Control_19,Control_20,Control_51,C9-Patient_66,C9-Patient_67,C9-Patient_68,C9-Patient_69,C9-Patient_70,C9-Patient_71,C9-Patient_72,C9-Patient_73,C9-Patient_74,C9-Patient_75
chr3_15953047,0.72,0.53,0.47,0.57,0.55,0.8,0.84,0.8,0.76,0.75,0.7,0.8,0.77,0.69,0.84,0.66,0.71,0.75,0.64,0.84,0.76,0.25,0.3,0.32,0.23,0.29,0.38,0.34,0.25,0.42,0.25
chr17_62154452,0.81,0.64,0.57,0.72,0.6,0.64,0.82,0.68,0.51,0.76,0.73,0.63,0.75,0.54,0.81,0.5,0.78,0.68,0.56,0.7,0.68,0.26,0.32,0.37,0.34,0.26,0.35,0.37,0.23,0.3,0.23
chr1_160404688,0.82,0.82,0.92,1.0,0.83,0.7,0.78,0.78,0.73,0.68,0.8,0.89,0.88,0.82,0.88,0.84,0.64,0.73,1.0,0.84,0.95,0.47,0.48,0.33,0.35,0.39,0.37,0.45,0.67,0.5,0.4
chr10_68430551,0.88,0.84,0.83,0.83,0.88,0.76,0.9,0.75,0.85,0.77,0.83,0.92,0.96,0.67,0.91,0.87,0.92,0.76,0.76,0.83,0.85,0.52,0.53,0.56,0.45,0.53,0.48,0.59,0.43,0.54,0.44
chr15_61181219,0.84,0.8,0.79,0.75,0.57,0.76,0.82,0.93,0.66,0.83,0.79,0.83,0.8,0.9,0.85,0.92,0.75,0.66,0.81,0.92,0.7,0.4,0.53,0.39,0.44,0.46,0.54,0.55,0.46,0.52,0.46
chr5_113483137,0.8,0.8,0.8,0.88,0.86,0.9,0.95,0.95,0.86,0.83,0.89,0.82,0.96,0.81,0.74,0.95,0.85,0.76,0.83,0.86,0.76,0.56,0.62,0.46,0.55,0.55,0.6,0.45,0.67,0.48,0.39
chr2_27640458,0.63,0.76,0.71,0.73,0.54,0.65,0.75,0.71,0.64,0.85,0.65,0.64,0.81,0.78,0.75,0.77,0.66,0.87,0.75,0.8,0.65,0.49,0.29,0.33,0.46,0.36,0.35,0.4,0.51,0.47,0.37
chr1_218775985,0.68,0.7,0.75,0.66,0.69,0.62,0.86,0.75,0.51,0.76,0.6,0.68,0.76,0.83,0.66,0.62,0.64,0.63,0.63,0.73,0.57,0.41,0.43,0.37,0.32,0.47,0.34,0.46,0.34,0.35,0.19
chr8_47430497,0.89,0.82,0.84,0.83,0.66,0.86,0.75,0.88,0.76,0.89,0.74,0.91,0.9,0.81,0.91,0.87,0.86,0.96,0.85,0.9,0.75,0.54,0.47,0.56,0.51,0.48,0.63,0.54,0.57,0.65,0.39
chr10_98338642,0.78,0.86,0.86,0.89,0.88,0.8,0.84,0.81,0.88,0.79,0.88,0.88,0.94,0.89,0.86,0.91,0.92,0.87,0.77,0.91,0.87,0.63,0.52,0.63,0.47,0.56,0.51,0.61,0.59,0.56,0.48
chr12_9402444,0.61,0.7,0.85,0.82,0.74,0.88,0.86,0.78,0.86,0.86,0.9,0.84,0.83,0.85,0.78,0.75,0.6893333333333335,0.75,0.88,0.87,0.73,0.28,0.31,0.6,0.44,0.41,0.42,0.41,0.61,0.45,0.61
chr3_113216048,0.66,0.53,0.44,0.53,0.48,0.58,0.57,0.62,0.53,0.51,0.55,0.69,0.63,0.53,0.33,0.55,0.64,0.41,0.55,0.67,0.65,0.26,0.28,0.17,0.32,0.24,0.22,0.32,0.27,0.21,0.23
chr21_42105789,0.85,0.68,0.77,0.9,0.78,0.7,0.78,0.92,0.91,0.81,0.65,0.72,0.82,0.84,0.66,1.0,0.8,0.7036666666666668,0.72,0.95,0.8,0.55,0.59,0.5,0.59,0.55,0.5,0.23,0.57,0.45,0.52
chr11_7519844,0.76,0.78,0.61,0.67,0.6,0.68,0.81,0.73,0.86,0.84,0.61,0.88,0.74,0.78,0.63,0.83,0.68,0.69,0.73,0.73,0.65,0.42,0.37,0.47,0.5,0.42,0.49,0.45,0.42,0.43,0.34
chr4_73944956,0.8,0.64,0.76,0.8,0.64,0.61,0.73,0.69,0.78,0.62,0.68,0.85,0.83,0.76,0.53,0.65,0.64,0.66,0.8,0.88,0.72,0.38,0.4,0.47,0.45,0.44,0.45,0.41,0.34,0.44,0.43
chr6_16149146,0.88,0.9,0.93,0.89,0.95,0.81,0.94,0.79,0.95,0.87,0.78,0.88,0.95,0.95,0.91,0.94,0.77,0.88,0.92,0.92,0.8,0.64,0.68,0.53,0.58,0.58,0.54,0.6,0.64,0.66,0.46
chr17_76328763,0.74,0.76,0.64,0.57,0.47,0.62,0.55,0.82,0.5562068965517242,0.75,0.61,0.66,0.66,0.75,0.79,0.87,0.56,0.5562068965517242,0.76,0.56,0.68,0.51,0.3,0.31,0.33,0.28,0.31,0.34,0.35,0.31,0.27
chr8_47430495,0.9,0.89,0.95,0.77,0.75,0.79,0.81,0.9,0.79,0.87,0.82,0.95,0.91,0.75,0.86,0.92,0.93,0.96,0.88,0.9,0.78,0.58,0.62,0.55,0.56,0.6,0.56,0.59,0.65,0.59,0.39
chr11_58904472,0.81,0.87,0.75,0.84,0.7,0.9,1.0,0.8,0.84,1.0,0.95,0.9,1.0,0.95,0.88,0.89,1.0,0.84,0.9,0.91,0.72,0.61,0.59,0.58,0.51,0.69,0.66,0.59,0.56,0.65,0.43
chr3_158683326,0.85,0.89,0.76,0.91,0.83,0.82,0.83,0.81,0.88,0.84,0.84,1.0,0.96,0.86,0.94,0.9,0.9,0.75,0.79,0.9,0.84,0.7,0.7,0.53,0.45,0.61,0.54,0.33,0.62,0.6,0.67
chr11_59835826,0.84,0.8,0.73,0.89,0.77,0.88,0.81,0.94,0.63,0.77,0.78,0.9,0.8,0.79,0.54,0.6,0.673666666666667,0.73,0.94,0.72,0.83,0.42,0.35,0.36,0.55,0.55,0.48,0.51,0.48,0.42,0.4
chr2_63982724,0.75,0.82,0.8,0.88,0.77,0.75,0.91,0.85,0.84,0.78,0.79,0.82,0.81,0.85,0.8,0.86,0.89,0.74,0.83,0.81,0.78,0.53,0.59,0.47,0.51,0.55,0.6,0.63,0.48,0.54,0.42
chr6_163765049,0.8,0.73,0.69,0.68,0.84,0.68,0.85,0.74,0.87,0.86,0.85,0.68,0.91,0.84,0.92,0.87,0.85,0.8,0.72,0.79,0.76,0.54,0.56,0.47,0.66,0.53,0.55,0.51,0.5,0.51,0.31
chr1_117340287,0.75,0.88,0.66,0.58,0.63,0.73,0.69,0.68,0.52,0.66,0.81,0.82,0.82,0.53,0.46,0.9,0.5650000000000001,0.5,0.66,0.63,0.58,0.37,0.39,0.42,0.29,0.46,0.3,0.36,0.27,0.43,0.17
chr14_69809601,0.83,0.86,0.75,0.82,0.96,0.83,0.81,0.82,0.75,0.85,0.83,0.89,0.91,0.83,0.77,0.84,0.82,0.7,0.85,0.96,0.75,0.36,0.53,0.52,0.65,0.5,0.47,0.56,0.65,0.64,0.62
chr20_45547307,0.69,0.83,0.72,0.89,0.84,0.75,0.8,0.81,0.68,0.93,0.65,0.83,0.8,0.77,0.71,0.77,0.7,0.62,0.68,0.92,0.75,0.5,0.43,0.48,0.54,0.48,0.53,0.53,0.51,0.5,0.44
chr3_128080819,0.88,0.85,0.83,0.81,0.87,0.81,0.73,0.88,0.93,0.87,0.84,0.86,0.85,0.92,0.96,0.86,0.93,0.78,0.86,0.9,0.88,0.5,0.6,0.55,0.69,0.66,0.56,0.59,0.59,0.57,0.66
chr15_42458233,0.84,0.71,0.75,0.91,0.84,0.81,0.83,0.8,0.92,1.0,0.88,0.96,0.9,0.88,0.76,0.88,0.84,0.75,1.0,0.9,0.85,0.59,0.65,0.61,0.66,0.64,0.53,0.69,0.43,0.61,0.53
chr2_37744014,0.7,0.66,0.62,0.61,0.43,0.63,0.69,0.5,0.38,0.47,0.75,0.79,0.78,0.66,0.72,0.65,0.57,0.55,0.53,0.63,0.45,0.23,0.34,0.33,0.29,0.36,0.37,0.36,0.41,0.19,0.2
chr1_9582359,0.82,0.8,0.77,0.93,0.9,0.82,0.82,0.79,0.86,0.89,0.83,0.91,0.9,0.83,0.78,0.87,0.83,0.76,0.81,0.9,0.85,0.61,0.61,0.65,0.53,0.59,0.56,0.61,0.68,0.55,0.48
chr1_247286766,0.71,0.59,0.66,0.64,0.66,0.56,0.6,0.68,0.63,0.57,0.78,0.74,0.71,0.64,0.7,0.67,0.72,0.66,0.62,0.75,0.52,0.37,0.37,0.43,0.32,0.44,0.37,0.41,0.45,0.48,0.42
chr12_31953569,0.89,0.84,0.85,0.95,0.95,0.94,0.93,0.96,0.91,0.93,0.9,0.95,0.81,0.92,0.91,0.94,1.0,0.89,0.87,0.97,1.0,0.66,0.73,0.62,0.66,0.68,0.66,0.73,0.68,0.69,0.57
chr7_83160057,0.86,0.59,0.59,0.55,0.51,0.66,0.45,0.62,0.52,0.68,0.53,0.77,0.45,0.59,0.62,0.5,0.72,0.48,0.54,0.69,0.74,0.44,0.43,0.29,0.4,0.4,0.31,0.41,0.32,0.35,0.19
chr18_76923224,0.87,0.84,0.91,0.73,0.78,0.8,0.85,0.85,0.94,1.0,0.8,0.85,0.88,0.66,0.83,0.92,0.83,0.56,0.75,0.85,0.73,0.53,0.44,0.48,0.51,0.57,0.56,0.65,0.47,0.57,0.53
chr9_97900682,0.63,0.73,0.61,0.87,0.64,0.84,0.66,0.7,0.66,0.82,0.71,0.76,0.76,0.6,0.71,0.73,0.63,0.71,0.74,0.69,0.63,0.41,0.51,0.5,0.33,0.55,0.43,0.45,0.51,0.49,0.41
