0,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Control_7,Control_8,Control_9,Control_10,Control_11,Control_12,Control_13,Control_14,Control_15,Control_16,Control_17,Control_18,Control_19,Control_20,sALS_21,sALS_22,sALS_23,sALS_24,sALS_25,sALS_26,sALS_27,sALS_28,sALS_29,sALS_30,sALS_31,sALS_33,sALS_34,sALS_35,sALS_36,sALS_37,sALS_38,sALS_39,sALS_40,Control_51
chr17_81132479,0.72,0.56,0.05,0.31,0.7,0.0,0.56,0.43,0.47,0.42,0.33,0.51,0.83,0.9,0.37,0.55,0.9,0.8,0.0,0.43,0.39,0.0,0.42,0.4,0.53,0.49,0.01,0.43,0.0,0.46,0.0,0.02,0.42,0.0,0.42,0.5,0.0,0.0,0.48,0.42
chr9_135536798,0.38,0.41,0.75,0.55,0.0,0.0,0.55,0.0,0.52,0.0,0.83,0.0,0.32,0.82,0.53,0.5194871794871795,0.26,0.65,0.0,0.9,0.59,0.86,0.57,0.0,0.8,0.92,0.0,0.86,0.86,0.85,0.44,0.42,0.95,0.56,1.0,0.36,0.3,0.8,0.83,0.82
chr9_135536821,0.41,0.42,0.66,0.52,0.0,0.0,0.43,0.0,0.52,0.0,0.84,0.0,0.35,0.8,0.56,0.0,0.23,0.65,0.0,0.9,0.5,0.68,0.62,0.0,0.77,1.0,0.0,0.71,0.82,0.85,0.46,0.44,0.86,0.47,1.0,0.44,0.37,0.84,0.78,0.8
chr21_38893979,0.0,0.0,0.56,0.54,0.0,0.86,0.45,0.56,0.48,0.31,0.88,0.0,0.45,0.94,0.0,0.55,0.87,0.3,0.45,0.46,0.43,0.0,0.0,0.0,0.33,0.47,0.04,0.5,0.0,0.0,0.92,0.39,0.64,0.0,0.0,0.02,0.03,0.0,0.0,0.57
chr7_22612632,0.85,0.81,0.91,0.89,0.91,0.0,0.85,0.51,0.9,0.89,0.84,0.0,0.39,0.88,0.8,0.93,0.81,0.43,0.87,0.85,0.85,0.6,0.82,0.88,0.96,0.88,0.51,0.95,0.82,0.86,0.92,0.91,0.9,0.9,0.84,0.93,0.91,0.9,0.96,0.54
chr1_236543745,0.71,0.0,0.47,0.0,0.5,0.0,0.0,0.0,0.5,0.34,0.95,0.0,0.57,0.45,0.0,0.94,0.0,0.0,0.0,0.0,0.45,0.55,0.62,0.42,0.0,0.92,0.01,0.0,0.48,1.0,0.93,0.87,0.0,0.45,0.69,0.34,0.44,0.86,0.86,0.53
chr9_35860944,0.64,0.55,0.43,0.75,0.0,0.54,0.77,0.48,0.89,0.48,0.4,0.0,0.51,0.83,0.77,0.47,0.72,0.67,0.83,0.82,0.34,0.42,0.4,0.77,0.27,0.44,0.35,0.39,0.0,0.0,0.0,0.75,0.41,0.44,0.65,0.44,0.35,0.31,0.0,0.85
chr1_3800475,0.85,0.61,0.69,0.77,0.73,0.85,0.78,0.7,0.69,0.52,0.43,0.0,0.54,0.55,0.78,0.81,0.72,0.58,0.72,0.0,0.0,0.3,0.5,0.51,0.34,0.77,0.48,0.48,0.63,0.42,0.55,0.0,0.71,0.72,0.0,0.59,0.75,0.45,0.71,0.76
chr3_128991686,0.56,0.25,0.2,0.19,0.40108108108108126,0.4,0.3,0.38,0.15,0.33,0.42,0.0,0.12,0.18,0.57,0.28,0.53,0.27,0.62,0.21,0.4,0.5,0.42,0.68,0.31,0.46,0.6,0.5,0.40108108108108126,0.5,0.63,0.38,0.9,0.5,0.40108108108108126,0.47,0.55,0.64,0.31,0.13
chr12_30995726,0.78,0.33,0.19,0.9,0.83,0.91,0.93,0.4,0.82,0.76,0.93,0.9,0.0,1.0,0.78,0.91,0.25,0.26,0.86,0.3,0.84,0.31,0.0,0.26,0.71,0.58,0.84,0.78,0.0,0.0,0.43,0.52,0.46,0.33,0.34,0.0,0.46,0.33,0.81,0.82
