chr	start	stop	mean difference	#CpGs	mean g1	mean g2	annot.symbol	annot.type	p(MWU)_new	-log10(q)	hue
chr1	939277	939583	-0.019767	12	0.662	0.68177	SAMD11	hg38_genes_promoters	0.1114604281719972	0.819387751743703	0
chr1	151198605	151198847	0.010335	12	0.02675	0.016415	PIP5K1A	hg38_genes_promoters	3.485352834993636e-05	3.565927710376498	0
chr1	151254407	151254509	0.023271	10	0.1372	0.11393	PSMD4	hg38_genes_promoters	0.4866086426208319	0.2935590665585352	0
chr1	151289695	151290077	0.022786	10	0.4162	0.39341	ZNF687	hg38_genes_promoters	0.6545819345956505	0.1766528006815443	0
chr1	151301883	151302293	-0.012747	10	0.8352	0.84795	PI4KB	hg38_genes_promoters	0.1535245961168947	0.7100350022541513	0
chr1	151368812	151369094	-0.020547	10	0.8294	0.84995	SELENBP1	hg38_genes_promoters	0.0148424993530868	1.500709914492775	0
chr1	151373189	151373427	0.036981	10	0.8716	0.83462	SELENBP1	hg38_genes_promoters	1.219117095010126e-05	3.944009482373268	0
chr1	151423948	151424476	-0.012492	11	0.87827	0.89077	POGZ	hg38_genes_promoters	0.0131354249695063	1.5408737665781922	0
chr1	151717160	151717509	-0.032981	10	0.1638	0.19678	CELF3	hg38_genes_promoters	0.0349882569918672	1.2074186381689223	0
chr1	151165505	151165773	0.058051	10	0.2627	0.20465	SCNM1	hg38_genes_promoters	0.0302719791609882	1.2554399070694144	0
chr1	151721804	151722095	0.036724	10	0.1627	0.12598	RIIAD1	hg38_genes_promoters	0.0578899589267034	1.038824735686772	0
chr1	152080885	152081353	0.019872	16	0.80025	0.78038	LOC100131107	hg38_genes_promoters	0.0319889270486275	1.2367895926109862	0
chr1	152189288	152189375	0.012599	13	0.055231	0.042632	FLG-AS1	hg38_genes_promoters	0.7786144051651254	0.1057068188504627	0
chr1	152311899	152312235	0.010601	10	0.8163	0.8057	FLG-AS1	hg38_genes_promoters	0.3393273197185072	0.4291976979785356	0
chr1	152622822	152623266	-0.020388	11	0.16645	0.18684	LCE3A	hg38_genes_promoters	0.1373914762161172	0.7483711793316374	0
chr1	152623282	152623431	-0.021542	10	0.0683	0.089842	LCE3A	hg38_genes_promoters	0.0539116446474884	1.0637012589548946	0
chr1	153565972	153567248	-0.016581	17	0.37182	0.3884	S100A2	hg38_genes_promoters	0.351031305882212	0.4165914630366123	0
