chr	start	stop	mean difference	#CpGs	mean g1	mean g2	annot.symbol	annot.type	p(MWU)_new	-log10(q)	hue
chr1	961326	961435	0.016581	10	0.24311	0.22652	KLHL17	hg38_genes_promoters	0.3416765128211855	0.45000718490030733	0
chr1	152081052	152081311	-0.043319	12	0.78268	0.82599	LOC100131107	hg38_genes_promoters	6.128052094370934e-08	6.431633049114285	-1
chr1	152312124	152312409	-0.034044	10	0.79777	0.83181	FLG-AS1	hg38_genes_promoters	1.5720369233664903e-06	5.144638591745816	-1
chr1	152707789	152708687	-0.026323	13	0.77979	0.80612	LCE4A	hg38_genes_promoters	0.0022914213132555	2.3588664117084917	0
chr1	153349150	153349874	-0.03188	13	0.68827	0.72015	PGLYRP4	hg38_genes_promoters	0.0047231284465589	2.084564708166688	0
chr1	153356609	153357923	0.020493	18	0.29936	0.27887	S100A9	hg38_genes_promoters	0.0418407172931869	1.2665466750557017	0
chr1	153390450	153391928	0.056274	19	0.39251	0.33624	S100A8	hg38_genes_promoters	7.946303369980944e-06	4.519758072261284	0
chr1	153417480	153417879	-0.038556	10	0.75181	0.79037	S100A7A	hg38_genes_promoters	0.0002542440334464	3.1925575694420014	0
chr1	153565793	153566606	0.034835	11	0.23717	0.20233	S100A2	hg38_genes_promoters	0.0253739880434763	1.4534267291549094	0
chr1	153608480	153609018	-0.031426	10	0.84053	0.87195	S100A16	hg38_genes_promoters	4.852854940843609e-06	4.709525073406603	0
chr1	151992806	151993206	-0.024193	10	0.18247	0.20667	S100A10	hg38_genes_promoters	0.7074521214154732	0.14864524184368497	0
chr1	153609058	153609407	-0.062789	10	0.75521	0.818	S100A16	hg38_genes_promoters	1.0253256982973952e-11	9.912455166327346	-1
chr1	153609612	153610207	-0.058426	10	0.45453	0.51295	S100A16	hg38_genes_promoters	0.0153414391841951	1.6423700964953505	0
chr1	153627194	153627355	0.028895	10	0.31789	0.289	S100A13	hg38_genes_promoters	0.0511465863223379	1.1914514593485417	0
chr1	153627194	153627355	0.028895	10	0.31789	0.289	S100A1	hg38_genes_promoters	0.0511465863223379	1.1914514593485417	0
chr1	153633460	153633780	-0.082245	14	0.47546	0.5577	CHTOP	hg38_genes_promoters	4.516217831781496e-08	6.550843422754392	-1
chr1	153688147	153688598	-0.030494	10	0.71432	0.74481	NPR1	hg38_genes_promoters	0.0221079990787909	1.5038518516820416	0
chr1	153689757	153690059	-0.023474	19	0.83577	0.85924	MIR8083	hg38_genes_promoters	2.470510822175413e-07	5.877543283291239	-1
chr1	153933588	153934041	-0.012964	12	0.80846	0.82143	DENND4B	hg38_genes_promoters	0.0571484434255489	1.1491709585396992	0
chr1	153941931	153942205	-0.030697	16	0.84299	0.87369	DENND4B	hg38_genes_promoters	1.3824521730255968e-08	7.016091578390893	-1
chr1	153943888	153944288	-0.016591	10	0.72046	0.73705	DENND4B	hg38_genes_promoters	0.0865048461956077	0.9917690761788928	0
chr1	154428902	154429377	-0.027025	12	0.81984	0.84687	IL6R	hg38_genes_promoters	0.0019147913130864	2.427264462855531	0
chr1	154434529	154434890	-0.049644	12	0.75898	0.80863	IL6R	hg38_genes_promoters	2.4578688499685243e-07	5.879517587623776	-1
chr1	151852390	151853732	-0.022839	17	0.76254	0.78538	THEM5	hg38_genes_promoters	0.0023482776438883	2.3497541388967726	0
chr1	151805785	151806443	-0.019946	11	0.68927	0.70921	LINGO4	hg38_genes_promoters	0.1337417031303174	0.8213971992063006	0
chr1	149813015	149813141	0.011088	10	0.015935	0.0048467	H2BC18	hg38_genes_promoters	1.1967698607996851e-09	7.9958435199032545	1
chr1	149886300	149886395	0.01288	12	0.072325	0.059444	H2AC20	hg38_genes_promoters	0.0391464408710022	1.2916449659678448	0
chr1	149886401	149886540	0.011112	12	0.053765	0.042654	H2AC20	hg38_genes_promoters	0.0017234273375533	2.466295606246327	0
chr1	149931245	149932282	-0.016377	18	0.79801	0.81438	MTMR11	hg38_genes_promoters	0.0054231710785288	2.0315756880578113	0
chr1	149936440	149937064	-0.069982	16	0.57057	0.64055	MTMR11	hg38_genes_promoters	5.5342690786429955e-09	7.385432970309803	-1
chr1	150149111	150149506	0.027094	10	0.051853	0.024759	PLEKHO1	hg38_genes_promoters	7.368521061085565e-07	5.44198373181976	1
chr1	150154841	150155466	-0.025415	10	0.81682	0.84224	PLEKHO1	hg38_genes_promoters	0.0001344947419079	3.429440591158096	0
chr1	150282921	150283050	-0.026142	10	0.37545	0.40159	CIART	hg38_genes_promoters	0.2004752302187136	0.663320920625851	0
chr1	150960641	150961114	-0.018221	10	0.88768	0.9059	SETDB1	hg38_genes_promoters	0.0033708960503494	2.2115114598529853	0
chr1	151825902	151826597	-0.031424	18	0.62045	0.65187	RORC	hg38_genes_promoters	0.0530477570443524	1.1775001633843394	0
chr1	150968932	150969262	-0.015664	10	0.83653	0.85219	CERS2	hg38_genes_promoters	0.003248141468036	2.2247689389836323	0
chr1	151060234	151060504	0.017445	11	0.026329	0.0088839	CDC42SE1	hg38_genes_promoters	1.5064841122438344e-07	6.070516128322034	1
chr1	151060234	151060504	0.017445	11	0.026329	0.0088839	MLLT11	hg38_genes_promoters	1.5064841122438344e-07	6.070516128322034	1
chr1	151165078	151165306	-0.07112	10	0.49583	0.56695	SCNM1	hg38_genes_promoters	0.001179175383729	2.6100802081008156	0
chr1	151265854	151266146	-0.011812	10	0.85347	0.86529	PSMD4	hg38_genes_promoters	0.1198893394687202	0.8637876435617352	0
chr1	151328182	151328247	-0.027434	10	0.15995	0.18738	PI4KB	hg38_genes_promoters	0.0229963514739241	1.4890634792727384	0
chr1	151368216	151369325	-0.028392	24	0.81855	0.84694	SELENBP1	hg38_genes_promoters	7.751674686161294e-09	7.248834095752641	-1
chr1	151372241	151372772	-0.034148	10	0.79831	0.83246	SELENBP1	hg38_genes_promoters	0.000332361394394	3.090805759779201	0
chr1	151373189	151373427	-0.023498	10	0.83442	0.85792	SELENBP1	hg38_genes_promoters	0.0013895562074506	2.548319255950172	0
chr1	151408225	151408734	0.011806	10	0.87906	0.86725	POGZ	hg38_genes_promoters	0.2189276179627061	0.6284918465966663	0
chr1	151717473	151717599	-0.022064	10	0.24662	0.26869	CELF3	hg38_genes_promoters	0.2013350107304201	0.6617635150207654	0
chr1	150972927	150973674	-0.045242	14	0.32759	0.37284	CERS2	hg38_genes_promoters	0.0245069892708718	1.46541825719458	0
chr1	154501381	154501782	0.033178	26	0.1601	0.12692	TDRD10	hg38_genes_promoters	1.6182201238929266e-07	6.041837365358906	1
chr1	154501798	154501994	0.013777	23	0.027918	0.014141	TDRD10	hg38_genes_promoters	3.621269945614835e-15	13.150063241288832	1
chr1	155031109	155031917	-0.019265	20	0.81764	0.8369	DCST2	hg38_genes_promoters	0.000790657013924	2.7629138868532626	0
chr1	156291680	156292039	-0.030079	10	0.48195	0.51203	SMG5	hg38_genes_promoters	0.1684331043828562	0.7312523265618731	0
chr1	156412719	156413367	-0.025856	11	0.72917	0.75502	MIR9-1HG	hg38_genes_promoters	0.0985541761073375	0.9403383285255517	0
chr1	156422645	156422789	0.019794	10	0.16784	0.14805	MIR9-1HG	hg38_genes_promoters	0.0021855026612325	2.376521089382972	0
chr1	156646834	156646911	-0.025769	11	0.15852	0.18429	BCAN	hg38_genes_promoters	0.034338177610656	1.3414688187203072	0
chr1	156646986	156647115	-0.030512	18	0.21684	0.24735	BCAN	hg38_genes_promoters	0.0098768084519174	1.8065352579871343	0
chr1	156816756	156816931	0.024196	10	0.04575	0.021553	SH2D2A	hg38_genes_promoters	4.1769683081127894e-08	6.58091247608895	1
chr1	156873535	156873811	-0.01487	16	0.84293	0.8578	NTRK1	hg38_genes_promoters	0.0002192544116354	3.2479374772129366	0
chr1	156878951	156879963	-0.014902	22	0.78853	0.80344	NTRK1	hg38_genes_promoters	0.0221371373789584	1.503413850097161	0
chr1	156912894	156913291	-0.041025	10	0.78574	0.82676	PEAR1	hg38_genes_promoters	7.000714788007632e-06	4.568807941294205	0
chr1	156931554	156932071	-0.034438	10	0.54326	0.5777	LRRC71	hg38_genes_promoters	0.2044903933848229	0.655470099980892	0
chr1	156248009	156248322	-0.01514	11	0.74694	0.76208	PAQR6	hg38_genes_promoters	0.0823748880252071	1.010725237816703	0
chr1	156945827	156946771	-0.01266	15	0.84074	0.8534	ARHGEF11	hg38_genes_promoters	0.0254651795001205	1.4519998656038033	0
